customer_id,creditscore,geography,gender,age,tenure,balance,numofproducts,hascrcard,isactivemember,estimatedsalary,predicted_churn,decision,churn
27acd1c2,545,Texas,Male,37,9,110483.86,1,1,1,127394.67,0.8972022692546415,high_risk,yes
27b36d0c,497,Texas,Female,55,7,131778.66,1,1,1,9972.64,0.9974405174732976,high_risk,yes
27b5360a,509,New York,Female,29,0,107712.57,2,1,1,92898.17,0.9205634599757724,high_risk,yes
27b5d650,743,Hawaii,Nonbinary,39,6,0.0,2,1,0,44265.28,0.7792820810043042,high_risk,yes
27b236a8,699,Florida,Female,25,8,0.0,2,1,1,52404.47,0.8254739856882707,high_risk,yes
27b456e0,711,Hawaii,Female,21,0,82844.33,2,0,1,1408.68,0.8009500984365298,high_risk,yes
27b70b7e,683,Hawaii,Male,33,8,0.0,1,0,0,73564.44,0.7772349996748187,high_risk,yes
27b1ecd4,712,California,Male,24,2,0.0,1,0,1,121232.51,0.9331552376688108,high_risk,yes
27b63942,839,Massachusetts,Nonbinary,33,10,75592.43,1,1,0,62674.42,0.9168757216972117,high_risk,yes
27b0efaa,660,Hawaii,Male,30,7,146301.31,1,0,0,96847.91,0.7532636541157421,high_risk,yes
27b6bd9a,717,California,Male,40,0,98241.04,1,1,0,110887.14,0.8943660313844745,high_risk,yes
27b194e6,663,California,Male,46,3,0.0,2,0,1,176276.1,0.8430946431933246,high_risk,yes
27b6ff30,597,California,Male,45,7,0.0,2,0,0,167756.45,0.8679283115114473,high_risk,yes
27b6bbce,799,Hawaii,Female,63,1,110314.21,2,1,0,37464.0,0.0674798339888586,low_risk,no
27a8a1ec,554,Hawaii,Female,39,10,0.0,2,1,1,18391.93,0.8233064706864327,high_risk,yes
27adeec2,796,Massachusetts,Male,67,5,0.0,2,0,1,54871.02,0.9651999476597716,high_risk,yes
27b37a90,832,Hawaii,Male,61,2,0.0,1,0,1,127804.66,0.090469105623619,low_risk,no
27ac77b8,652,Florida,Male,41,8,115144.68,1,1,0,188905.43,0.947682144481032,high_risk,yes
27b35092,655,Hawaii,Male,27,2,131691.33,1,1,0,49480.66,0.7813477277419045,high_risk,yes
27b2cf14,602,Florida,Female,22,7,141604.76,1,1,0,30379.6,0.8035304768579998,high_risk,yes
27a87e42,796,Hawaii,Female,45,2,109730.22,1,1,1,123882.73,0.9150161824580296,high_risk,yes
27b6f86e,648,Florida,Female,56,6,157559.59,2,1,0,140991.23,0.1553425013476753,low_risk,no
27afc26a,636,New York,Female,31,9,80844.69,2,1,1,74641.9,0.96052688687413,high_risk,yes
27b4062c,794,Massachusetts,Female,22,4,114440.24,1,1,1,107753.07,0.8473096487046281,high_risk,yes
27b27c30,813,California,Male,34,0,0.0,2,1,0,43169.15,0.9146439187874498,high_risk,yes
27ae54ac,470,Texas,Nonbinary,39,5,117469.91,2,0,0,63705.9,0.8612039962303183,high_risk,yes
27ad5188,586,Texas,Male,32,1,149814.54,1,1,0,31830.06,0.7552393250249715,high_risk,yes
27afb28e,567,Hawaii,Female,47,2,0.0,1,0,0,110900.43,0.0611594833232711,low_risk,no
27ac41f8,450,California,Male,29,7,117199.8,1,1,1,43480.63,0.8270614642441625,high_risk,yes
27a9167c,662,Hawaii,Female,38,2,96479.81,1,1,0,120259.41,0.9046355526270916,high_risk,yes
27abce94,727,Florida,Male,71,8,0.0,1,1,1,198446.91,0.2246189538117987,low_risk,no
27b5dd8a,667,Florida,Male,31,5,0.0,2,1,1,20346.69,0.9637949767861148,high_risk,yes
27adf8e0,588,California,Female,34,3,120777.88,1,1,1,131729.52,0.8617485660796,high_risk,yes
27af9f60,664,California,Male,55,8,0.0,2,1,1,139161.64,0.9424132774779306,high_risk,yes
27b5c96c,808,Hawaii,Male,41,0,0.0,1,1,1,79888.78,0.997143866964822,high_risk,yes
27aef920,806,Texas,Male,31,10,138653.51,1,1,0,190803.37,0.9955892707719798,high_risk,yes
27b01490,548,Massachusetts,Male,44,8,0.0,1,1,0,16989.77,0.9992490255693074,high_risk,yes
27b00464,584,California,Female,35,2,114321.28,2,0,0,15959.01,0.9234336816853136,high_risk,yes
27a98ad0,570,Hawaii,Female,29,4,153040.03,1,1,1,131363.57,0.1064901771662993,low_risk,no
27b5aa9a,543,California,Male,43,9,0.0,2,1,1,78858.07,0.8045384501499997,high_risk,yes
27afe0f6,831,Massachusetts,Female,44,10,0.0,1,0,1,47729.33,0.7943183382484256,high_risk,yes
27aaa4b0,752,Hawaii,Female,41,8,0.0,2,1,0,139844.04,0.0162514886135467,low_risk,no
27b69482,595,Florida,Female,23,10,101126.66,2,0,0,37042.8,0.7881325989325313,high_risk,yes
27aca08a,725,California,Male,35,7,75915.75,1,1,0,150507.43,0.8252342090949113,high_risk,yes
27b42256,594,Hawaii,Female,31,9,0.0,1,0,1,5719.11,0.9746499899083934,high_risk,yes
27aad66a,614,Hawaii,Female,27,9,106414.57,2,0,0,77500.81,0.7836653925560124,high_risk,yes
