YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,timestamp,predicted_ARRIVAL_DELAY
2015,1,1,4,OO,4967,N791SK,MIA,IAH,1140,1157.0,17.0,14.0,1211.0,172.0,175.0,156.0,964,1347.0,5.0,1332,1352.0,20.0,0,0,,3.0,0.0,0.0,17.0,0.0,2022-11-13 08:33:55.975683,-15.421623289512125
2015,1,1,4,WN,1636,N523SW,HOU,DAL,1500,1651.0,111.0,7.0,1658.0,60.0,50.0,39.0,239,1737.0,4.0,1600,1741.0,101.0,0,0,,0.0,0.0,101.0,0.0,0.0,2022-11-13 08:33:55.975683,140.93341383656204
2015,1,1,4,EV,5005,N843AS,AVP,DTW,1220,1216.0,-4.0,10.0,1226.0,111.0,93.0,77.0,399,1343.0,6.0,1411,1349.0,-22.0,0,0,,,,,,,2022-11-13 08:33:55.975683,5.435709007174151
2015,1,1,4,WN,554,N492WN,MSY,FLL,1930,1930.0,0.0,5.0,1935.0,105.0,94.0,86.0,674,2201.0,3.0,2215,2204.0,-11.0,0,0,,,,,,,2022-11-13 08:33:55.975683,17.558203680114843
2015,1,1,4,WN,2417,N953WN,DEN,OMA,1345,1354.0,9.0,10.0,1404.0,75.0,74.0,60.0,472,1604.0,4.0,1600,1608.0,8.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-24.43106382617577
2015,1,1,4,WN,691,N787SA,ONT,MDW,710,743.0,33.0,8.0,751.0,230.0,219.0,204.0,1706,1315.0,7.0,1300,1322.0,22.0,0,0,,0.0,0.0,22.0,0.0,0.0,2022-11-13 08:33:55.975683,-18.418794675433197
2015,1,1,4,MQ,3564,N809MQ,GSO,LGA,1010,1005.0,-5.0,25.0,1030.0,95.0,99.0,67.0,461,1137.0,7.0,1145,1144.0,-1.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-12.401002627015036
2015,1,1,4,HA,305,N485HA,OGG,HNL,1127,1122.0,-5.0,7.0,1129.0,36.0,40.0,26.0,100,1155.0,7.0,1203,1202.0,-1.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-21.6420713324772
2015,1,1,4,WN,2776,N372SW,LAX,SFO,1710,1705.0,-5.0,14.0,1719.0,75.0,79.0,59.0,337,1818.0,6.0,1825,1824.0,-1.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-18.455242146386908
2015,1,1,4,DL,2375,N371NW,SFO,SLC,1310,1306.0,-4.0,18.0,1324.0,106.0,111.0,87.0,599,1551.0,6.0,1556,1557.0,1.0,0,0,,,,,,,2022-11-13 08:33:55.975683,81.93733326573228
2015,1,1,4,UA,672,N429UA,ORD,LGA,1400,1359.0,-1.0,22.0,1421.0,133.0,121.0,93.0,733,1654.0,6.0,1713,1700.0,-13.0,0,0,,,,,,,2022-11-13 08:33:55.975683,-24.052518911517048
2015,1,1,4,DL,989,N6714Q,DTW,TPA,830,901.0,31.0,14.0,915.0,170.0,147.0,128.0,983,1123.0,5.0,1120,1128.0,8.0,0,0,,,,,,,2022-11-13 08:33:55.975683,24.86138860994924
2015,1,1,4,NK,395,N524NK,PHL,LAS,1942,1947.0,5.0,17.0,2004.0,340.0,348.0,327.0,2176,2231.0,4.0,2222,2235.0,13.0,0,0,,,,,,,2022-11-13 08:33:55.975683,12.88336014875127
