creditscore,geography,gender,age,tenure,balance,numofproducts,hascrcard,isactivemember,estimatedsalary,churn,decisions
545,Texas,Male,37,9,110483.86,1,1,1,127394.67,yes,low_risk
497,Texas,Female,55,7,131778.66,1,1,1,9972.64,yes,low_risk
509,New York,Female,29,0,107712.57,2,1,1,92898.17,yes,low_risk
743,Hawaii,Nonbinary,39,6,0.0,2,1,0,44265.28,yes,low_risk
699,Florida,Female,25,8,0.0,2,1,1,52404.47,yes,low_risk
711,Hawaii,Female,21,0,82844.33,2,0,1,1408.68,yes,low_risk
683,Hawaii,Male,33,8,0.0,1,0,0,73564.44,yes,low_risk
712,California,Male,24,2,0.0,1,0,1,121232.51,yes,low_risk
839,Massachusetts,Nonbinary,33,10,75592.43,1,1,0,62674.42,yes,low_risk
660,Hawaii,Male,30,7,146301.31,1,0,0,96847.91,yes,low_risk
717,California,Male,40,0,98241.04,1,1,0,110887.14,yes,low_risk
663,California,Male,46,3,0.0,2,0,1,176276.1,yes,low_risk
597,California,Male,45,7,0.0,2,0,0,167756.45,yes,low_risk
799,Hawaii,Female,63,1,110314.21,2,1,0,37464.0,no,high_risk
554,Hawaii,Female,39,10,0.0,2,1,1,18391.93,yes,low_risk
796,Massachusetts,Male,67,5,0.0,2,0,1,54871.02,yes,low_risk
832,Hawaii,Male,61,2,0.0,1,0,1,127804.66,no,high_risk
652,Florida,Male,41,8,115144.68,1,1,0,188905.43,yes,low_risk
655,Hawaii,Male,27,2,131691.33,1,1,0,49480.66,yes,low_risk
602,Florida,Female,22,7,141604.76,1,1,0,30379.6,yes,low_risk
796,Hawaii,Female,45,2,109730.22,1,1,1,123882.73,yes,low_risk
648,Florida,Female,56,6,157559.59,2,1,0,140991.23,no,high_risk
636,New York,Female,31,9,80844.69,2,1,1,74641.9,yes,low_risk
794,Massachusetts,Female,22,4,114440.24,1,1,1,107753.07,yes,low_risk
813,California,Male,34,0,0.0,2,1,0,43169.15,yes,low_risk
470,Texas,Nonbinary,39,5,117469.91,2,0,0,63705.9,yes,low_risk
586,Texas,Male,32,1,149814.54,1,1,0,31830.06,yes,low_risk
567,Hawaii,Female,47,2,0.0,1,0,0,110900.43,no,high_risk
450,California,Male,29,7,117199.8,1,1,1,43480.63,yes,low_risk
662,Hawaii,Female,38,2,96479.81,1,1,0,120259.41,yes,low_risk
727,Florida,Male,71,8,0.0,1,1,1,198446.91,no,high_risk
667,Florida,Male,31,5,0.0,2,1,1,20346.69,yes,low_risk
588,California,Female,34,3,120777.88,1,1,1,131729.52,yes,low_risk
664,California,Male,55,8,0.0,2,1,1,139161.64,yes,low_risk
808,Hawaii,Male,41,0,0.0,1,1,1,79888.78,yes,low_risk
806,Texas,Male,31,10,138653.51,1,1,0,190803.37,yes,low_risk
548,Massachusetts,Male,44,8,0.0,1,1,0,16989.77,yes,low_risk
584,California,Female,35,2,114321.28,2,0,0,15959.01,yes,low_risk
570,Hawaii,Female,29,4,153040.03,1,1,1,131363.57,no,high_risk
543,California,Male,43,9,0.0,2,1,1,78858.07,yes,low_risk
