creditscore,geography,gender,age,tenure,balance,numofproducts,hascrcard,isactivemember,estimatedsalary,churn,decisions,predicted_churn,event_id
545,Texas,Male,37,9,110483.86,1,1,1,127394.67,yes,low_risk,0.5013881431031847,100
497,Texas,Female,55,7,131778.66,1,1,1,9972.64,yes,low_risk,0.2491054862660776,101
509,New York,Female,29,0,107712.57,2,1,1,92898.17,yes,low_risk,0.840694267272766,102
743,Hawaii,Nonbinary,39,6,0.0,2,1,0,44265.28,yes,low_risk,0.8463288827642268,103
699,Florida,Female,25,8,0.0,2,1,1,52404.47,yes,low_risk,0.928393961998625,104
711,Hawaii,Female,21,0,82844.33,2,0,1,1408.68,yes,low_risk,0.8449140469971316,105
683,Hawaii,Male,33,8,0.0,1,0,0,73564.44,yes,low_risk,0.5249032346132606,106
712,California,Male,24,2,0.0,1,0,1,121232.51,yes,low_risk,0.7447771406524091,107
839,Massachusetts,Nonbinary,33,10,75592.43,1,1,0,62674.42,yes,low_risk,0.6864562923917918,108
660,Hawaii,Male,30,7,146301.31,1,0,0,96847.91,yes,low_risk,0.6876620135095581,109
717,California,Male,40,0,98241.04,1,1,0,110887.14,yes,low_risk,0.5032105080685416,110
663,California,Male,46,3,0.0,2,0,1,176276.1,yes,low_risk,0.8188503368110741,111
597,California,Male,45,7,0.0,2,0,0,167756.45,yes,low_risk,0.6609779277556771,112
799,Hawaii,Female,63,1,110314.21,2,1,0,37464.0,no,high_risk,0.1473087012163864,113
554,Hawaii,Female,39,10,0.0,2,1,1,18391.93,yes,low_risk,0.8513976606479706,114
796,Massachusetts,Male,67,5,0.0,2,0,1,54871.02,yes,low_risk,0.8902014287378793,115
832,Hawaii,Male,61,2,0.0,1,0,1,127804.66,no,high_risk,0.323386086242137,116
652,Florida,Male,41,8,115144.68,1,1,0,188905.43,yes,low_risk,0.4272492544824701,117
655,Hawaii,Male,27,2,131691.33,1,1,0,49480.66,yes,low_risk,0.6905019802038823,118
602,Florida,Female,22,7,141604.76,1,1,0,30379.6,yes,low_risk,0.6601635133242302,119
796,Hawaii,Female,45,2,109730.22,1,1,1,123882.73,yes,low_risk,0.4118676989820911,120
648,Florida,Female,56,6,157559.59,2,1,0,140991.23,no,high_risk,0.1065449869465206,121
636,New York,Female,31,9,80844.69,2,1,1,74641.9,yes,low_risk,0.9042769934585588,122
794,Massachusetts,Female,22,4,114440.24,1,1,1,107753.07,yes,low_risk,0.8014446215183456,123
813,California,Male,34,0,0.0,2,1,0,43169.15,yes,low_risk,0.8949779275318157,124
470,Texas,Nonbinary,39,5,117469.91,2,0,0,63705.9,yes,low_risk,0.5973207752803956,125
586,Texas,Male,32,1,149814.54,1,1,0,31830.06,yes,low_risk,0.509414676311903,126
567,Hawaii,Female,47,2,0.0,1,0,0,110900.43,no,high_risk,0.1187768231590978,127
450,California,Male,29,7,117199.8,1,1,1,43480.63,yes,low_risk,0.7858050453091137,128
