timestamps,property_id,latitude,longitude,bedroom_number,bathroom_number,price_per_unit,living_space,land_space,pred_price,price
2025-05-27 12:19:25.565155000,2064303242,41.295208,-89.50938,3.0,1.0,144.0,884.0,2.0,144536.0,127500.0
2025-05-27 14:17:21.088357911,232037913,33.659485,-93.59025,,0.0,,,0.489,66759.49,17000.0
2025-05-27 16:15:16.611560823,18024057,33.84054,-116.54445,2.0,2.0,364.0,902.0,,345687.0,329000.0
2025-05-27 18:13:12.134763735,2073574493,36.27937,-91.3825,2.0,2.0,78.0,1650.0,0.52,110553.5,129900.0
2025-05-27 20:11:07.657966646,2077333399,39.766674,-89.69197,,,,,1.0,232613.0,320000.0
2025-05-27 22:09:03.181169558,84867944,37.73179,-88.938995,3.0,2.0,43.0,1152.0,0.2927,54064.58,49900.0
2025-05-28 00:06:58.704372470,2065799295,,,4.0,3.0,229.0,2698.0,3920.4,613246.19,619146.0
2025-05-28 02:04:54.227575382,2071244652,34.472816,-117.50645,,,,,7.5,271846.4,159000.0
2025-05-28 04:02:49.750778293,84377987,30.052256,-97.40297,1.0,1.0,415.0,600.0,2.0,299458.0,249000.0
2025-05-28 06:00:45.273981205,2067456000,29.639032,-95.7667,4.0,2.0,184.0,1720.0,,318903.07,317990.0
2025-05-28 07:58:40.797184117,2119871262,30.258743,-91.87787,,,,,0.2938,163825.18,25000.0
2025-05-28 09:56:36.320387029,159306837,41.61318,-87.69219,,,,,0.26,57093.4,15000.0
2025-05-28 11:54:31.843589940,295598758,38.022064,-105.92941,,,,,40.0,118119.04,72000.0
2025-05-28 13:52:27.366792852,27626548,29.605494,-95.496796,3.0,2.0,74.0,1312.0,2027.0,137687.6,97900.0
2025-05-28 15:50:22.889995764,2064179483,43.658005,-116.38108,4.0,3.0,330.0,2553.0,8102.16,839553.1,844900.0
2025-05-28 17:48:18.413198676,2064172489,38.8365,-94.461655,4.0,3.0,220.0,2154.0,,476276.88,475800.0
2025-05-28 19:46:13.936401587,66857984,36.106136,-115.31223,3.0,2.0,219.0,1482.0,,329746.24,325000.0
2025-05-28 21:44:09.459604499,2066443781,38.170574,-92.64236,,,,,0.2996,30729.48,25000.0
2025-05-28 23:42:04.982807411,295365990,32.61544,-117.058815,,0.0,,,7840.8,1187848.75,1699000.0
2025-05-29 01:40:00.506010323,111914807,32.14327,-110.971634,3.0,2.0,125.0,1272.0,5009.0,195361.0,160000.0
2025-05-29 03:37:56.029213234,2103287249,,,,,,,0.2904,107154.9,130000.0
2025-05-29 05:35:51.552416146,82484390,21.30795,-157.78358,6.0,6.0,904.0,6632.0,8.7844,5885572.52,6000000.0
2025-05-29 07:33:47.075619058,3737062,41.92396,-87.644936,3.0,2.0,,0.0,,559775.0,599900.0
2025-05-29 09:31:42.598821969,17740914,33.787457,-116.5365,5.0,4.0,918.0,4275.0,0.32,4113646.26,3925000.0
2025-05-29 11:29:38.122024881,70602276,36.459618,-94.33165,,,,,0.33,67477.96,14900.0
2025-05-29 13:27:33.645227793,28724631,30.350538,-95.54286,3.0,2.0,158.0,2025.0,8775.0,321386.85,320000.0
2025-05-29 15:25:29.168430705,79567812,34.126713,-116.157074,4.0,2.0,267.0,1891.0,0.4224,511573.58,505000.0
2025-05-29 17:23:24.691633616,2070238575,,,,,,,40.0,366597.15,69900.0
2025-05-29 19:21:20.214836528,2066672784,33.514614,-96.47128,,,,,13.31,253045.37,252890.0
2025-05-29 21:19:15.738039440,28917346,,,,0.0,,,13.68,209893.17,176000.0
2025-05-29 23:17:11.261242352,26510035,28.947098,-95.348564,2.0,1.0,71.0,2812.0,9352.0,190241.99,200000.0
2025-05-30 01:15:06.784445263,68901693,37.336662,-113.690094,2.0,2.0,584.0,924.0,5.86,577564.0,540000.0
2025-05-30 03:13:02.307648175,2065917455,38.375954,-90.6277,3.0,2.0,235.0,1190.0,,282518.06,280719.0
2025-05-30 05:10:57.830851087,27675768,29.401505,-94.91719,4.0,3.0,93.0,3369.0,8999.496,356462.9,315000.0
2025-05-30 07:08:53.354053999,2066628726,39.012035,-94.20282,4.0,3.0,181.0,2036.0,,378845.94,369900.0
2025-05-30 09:06:48.877256910,5468206,41.55037,-88.09297,5.0,3.0,,,7405.2,265414.36,225000.0
2025-05-30 11:04:44.400459822,82386391,33.38118,-112.593346,3.0,2.0,251.0,1668.0,6098.4,418440.4,419000.0
2025-05-30 13:02:39.923662734,112317321,33.10304,-96.090195,3.0,2.0,165.0,1812.0,6011.28,298522.09,299950.0
2025-05-30 15:00:35.446865646,21332945,33.847965,-118.35187,3.0,2.0,706.0,1764.0,6046.128,1229994.46,1247000.0
2025-05-30 16:58:30.970068557,2077203190,38.638557,-88.96777,,,,,5.15,123699.7,49900.0
2025-05-30 18:56:26.493271469,2067670222,40.50486,-104.8681,3.0,2.0,252.0,2113.0,,522158.6,533995.0
2025-05-30 20:54:22.016474381,26700662,32.806446,-96.73793,3.0,3.0,375.0,2199.0,7143.84,805452.01,825000.0
2025-05-30 22:52:17.539677293,243333727,30.526398,-97.53475,3.0,2.0,243.0,1641.0,7884.36,406464.9,399900.0
2025-05-31 00:50:13.062880204,61084428,39.51673,-104.95515,5.0,5.0,194.0,6156.0,9017.0,1196430.89,1199500.0
2025-05-31 02:48:08.586083116,2066489143,,,3.0,2.0,298.0,1640.0,7841.0,485039.16,489900.0
2025-05-31 04:46:04.109286028,194649376,42.47513,-111.369095,1.0,1.0,250.0,500.0,4791.6,154688.19,125000.0
2025-05-31 06:43:59.632488939,54625442,37.9316,-121.74284,5.0,5.0,350.0,3708.0,8276.4,1333518.0,1299900.0
2025-05-31 08:41:55.155691851,2078447599,36.01843,-115.3121,4.0,3.0,272.0,1910.0,,584172.6,519950.0
2025-05-31 10:39:50.678894763,2066584841,36.54292,-91.272766,3.0,2.0,480.0,1560.0,250.0,710290.2,750000.0
2025-05-31 12:37:46.202097675,75506471,39.85355,-89.655495,3.0,2.0,108.0,1432.0,6050.0,146330.0,155000.0
2025-05-31 14:35:41.725300586,109868416,36.583527,-89.975685,3.0,1.0,82.0,1084.0,0.27,88615.99,89900.0
2025-05-31 16:33:37.248503498,2065965589,31.033085,-94.74808,,0.0,,,145.0,557280.41,289275.0
2025-05-31 18:31:32.771706410,2066828783,29.801208,-95.56887,,0.0,,,0.3196,307879.88,399000.0
2025-05-31 20:29:28.294909322,2067242787,,,,,,,1.0,110707.5,155000.0
