srch_id,date_time,site_id,visitor_location_country_id,prop_country_id,prop_id,prop_starrating,prop_review_score,prop_brand_bool,prop_location_score1,prop_location_score2,prop_log_historical_price,position,price_usd,promotion_flag,srch_destination_id,srch_length_of_stay,srch_booking_window,srch_adults_count,srch_children_count,srch_room_count,srch_saturday_night_bool,srch_query_affinity_score,orig_destination_distance,random_bool,comp2_rate,comp2_inv,comp2_rate_percent_diff,comp3_rate,comp3_inv,comp3_rate_percent_diff,comp5_rate,comp5_inv,comp5_rate_percent_diff,comp8_rate,comp8_inv,comp8_rate_percent_diff,binary_relevance,graded_relevance,weekday,week_of_year,hour,minute,early_night,nans_count,score,timestamp
81,2013-06-25 15:39:35,5,219,219,5439,2,3.5,1,0.69,0.0008,0.0,22,90.0,0,13539,1,3,2,2,1,1,,144.99,1,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,0,no_click,1,26,15,39,False,7,-2.440276941922958,1712238587667
81,2013-06-25 15:39:35,5,219,219,5449,0,4.5,1,0.0,0.0002,0.0,30,100.0,0,13539,1,3,2,2,1,1,,153.16,1,,,,,1.0,,,,,1.0,0.0,9.0,0,no_click,1,26,15,39,False,9,-3.078178407011871,1712238624910
81,2013-06-25 15:39:35,5,219,219,6997,3,4.5,1,1.1,0.0018,0.0,34,109.0,0,13539,1,3,2,2,1,1,,150.69,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,no_click,1,26,15,39,False,5,-2.3176588940428453,1712238662154
81,2013-06-25 15:39:35,5,219,219,10797,2,3.0,0,1.39,0.0018,0.0,18,86.0,0,13539,1,3,2,2,1,1,,144.54,1,-1.0,0.0,19.0,1.0,0.0,36.0,1.0,0.0,30.0,-1.0,0.0,22.0,0,no_click,1,26,15,39,False,1,-2.2544022434660484,1712238699398
81,2013-06-25 15:39:35,5,219,219,14142,2,3.5,1,2.71,0.0086,0.0,4,69.0,0,13539,1,3,2,2,1,1,,142.6,1,0.0,0.0,,0.0,0.0,,,1.0,,0.0,0.0,,0,no_click,1,26,15,39,False,6,-1.519716660699812,1712238736641
81,2013-06-25 15:39:35,5,219,219,18221,3,4.5,1,1.39,0.0048,0.0,28,99.0,0,13539,1,3,2,2,1,1,,146.28,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,no_click,1,26,15,39,False,5,-1.6003930690984864,1712238773885
81,2013-06-25 15:39:35,5,219,219,21495,3,4.0,1,1.39,0.0009,0.0,32,103.0,0,13539,1,3,2,2,1,1,,145.21,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,no_click,1,26,15,39,False,5,-2.161293580909564,1712238811129
81,2013-06-25 15:39:35,5,219,219,22883,2,4.0,1,3.09,0.0123,0.0,14,82.0,0,13539,1,3,2,2,1,1,,141.91,1,-1.0,0.0,4.0,-1.0,0.0,13.0,-1.0,0.0,10.0,-1.0,0.0,10.0,0,no_click,1,26,15,39,False,1,-2.388467969218821,1712238848372
81,2013-06-25 15:39:35,5,219,219,24452,2,2.5,1,2.08,0.0137,0.0,10,77.0,1,13539,1,3,2,2,1,1,,143.24,1,0.0,0.0,,0.0,0.0,,-1.0,0.0,15.0,-1.0,0.0,15.0,0,no_click,1,26,15,39,False,3,-1.8130836951301557,1712238885616
81,2013-06-25 15:39:35,5,219,219,25511,0,2.5,0,0.0,0.0006,0.0,7,70.0,0,13539,1,3,2,2,1,1,,147.22,1,,,,,,,,,,,,,0,no_click,1,26,15,39,False,13,-2.2239048926448697,1712238922860
