predicted_target,prob_computer,prob_forsale,prob_recreation,prob_religion,prob_science,original_text,original_target,target,n_tokens,string_size,timestamp
science,0.0497195376347784,0.0152937409128355,0.0409097107026379,0.0254330366611091,0.868643974088639,": Has anyone ever heard of a food product called ""Space Food Sticks?""   I remember those awful things.  They were dry and crumbly, and I recall asking my third-grade teacher, Miss G'Francisco, how they kept the crumbs from floating around in zero-G.  She had no clue. I have not seen anything like them in today's space program.  Some Apollo technology is best forgotten.  -- Ken Jenks, NASA/JSC/GM2, Space Shuttle Program Office       kjenks@gothamcity.jsc.nasa.gov  (713) 483-4368",sci.space,science,87,482,1713288933452
computer,0.749486851203834,0.0459936872666835,0.0199837663074153,0.0162089287791081,0.1683267664429589,"Getting an image from a computer monitor to a videotape is harder than it looks.  The standard VGA and EGA outputs are  very different than the NTSC format used by televisions.  While there is equipment that will do the conversion, it is hard to get your hands on and costs quite a bit.  	If you have access to an Amiga computer, that has an NTSC output, you can transfer certain types of graphic files by modem and tape them from the NTSC output.  Unfortunately, this would be frame-by-frame and would lead to unbelievably scratchy animation unless you had a good Amiga animation program.",comp.graphics,computer,108,589,1713289192800
forsale,0.0682819382971763,0.7396023385874765,0.0887663752570206,0.0323066810755451,0.0710426667827815,The following used CD's are for sale.  They are each $8 unless otherwise marked.  I will pay for the shipping and handling costs.  If you are interested in any just e-mail me at awakhras@phoenix.princeton.edu.  At that point we will figure out the payment and mailing procedure.   Artist				Title  Robbie Robertson		Storyville Love and Rockets		Love and Rockets Jeff Lynne			Armchair Theatre Elvis Costello			Mighty Like a Rose Public Image LTD		9 Neneh Cherry			Raw Like Sushi Bobby Brown 			Don't Be Cruel Depeche Mode			Black Celebration Traveling Wilburys              Vol. 1 Bad Company			10 from 6 Soul II Soul			Vol. II-1990 A New Decade The Godfathers			More Songs About Love and Hate Paul McCartney			Flowers in the Dirt Simply Red			Stars Prince				Graffitti Bridge,misc.forsale,forsale,128,775,1713289452148
science,0.060254219049577,0.0360895532962417,0.0726079813463802,0.0283118666872954,0.8027363796205055,"Since your MOSFET is a 1972 vintage, it's probably not a very good one by  today's standards.  If you have an idea about its voltage and current  ratings, e.g. 60VDC @ 6A, you can probably get away with replacing it with  anything with better specs.  Early MOSFETS had a gate-source voltage rating  of approximately +/- 20 VDCmax, and they would usually turn completely ""ON""  at +10VDC.  Otherwise, MOSFETS are not really mysterious -- they're more or  less voltage controlled current sources.  If the MOSFET in your circuit is  used as an open-loop, voltage controlled current source, you may have to  experiment with various gain-altering techniques.",sci.electronics,science,117,652,1713289711496
computer,0.2596120376199735,0.0889357581946043,0.1982720655400001,0.2068616281935144,0.2463185104519075,Are 'Moody Monthly' and 'Moody' the same magazine (name change in recent years)?  If not: Could someone post the address to 'Moody Monthly'?  :)avid,soc.religion.christian,religion,26,148,1713289970844
science,0.0540896630362326,0.0246852808132354,0.1625742151243137,0.2244344376813579,0.5342164033448601,"L(>  |JB>  1) Ron...what do YOU consider to be ""proper channels""... L(>   L(>  |  I'm glad it caught your eye. That's the purpose of this forum to L(>  | educate those, eager to learn, about the facts of life. That phrase L(>  | is used to bridle the frenzy of all the would-be respondents, who L(>  | otherwise would feel being left out as the proper authorities to be L(>  | consulted on that topic. In short, it means absolutely nothing. L(>   L(>  An apt description of the content of just about all Ron Roth's  L(>  posts to date.  At least there's entertainment value (though it  L(>  is diminishing).       Well, that's easy for *YOU* to say.  All *YOU* have to do is sit       back, soak it all in, try it out on your patients, and then brag      to all your colleagues about that incredibly success rate you're      having all of a sudden...       --Ron",sci.med,science,200,862,1713290230192
recreation,0.0534022045516346,0.0208809083106108,0.8276812239458154,0.0244874735485997,0.0735481896433394,"$ The biggest hurdle for automatics (IMHO) is not shifting speed $ per se, but rather the transmission's reaction speed when you $ try to force it to shift manually.   $ [...]  I rented an Oldsmobile Achieva (is that a yuppie name or what?) and a Nissan Stanza.  They both had automatics.  I'm a manual transmission bigot but I have to admit that the transmissions on these cars were better shifters than I am.  And yes, they responded very quickly to kickdown requests.  The Nissan had a tachometer so I was able to figure out which gear I was in.  (The Olds may have also, but I don't remember.)  I believe it shifted all the way down to second at about 50 mph when my foot told it, ""No I really want to accelerate quickly.""  I would still prefer a manual, but I won't delude myself into thinking that I can out-accelerate a modern automatic.  And I'm very smooth at shifting but certainly not as good as an automatic.",rec.autos,recreation,180,920,1713290489541
science,0.0351923182713814,0.0390684661131197,0.1169365596638957,0.2672280394738941,0.541574616477709,"Herman, I would think you of all people would/could distinguish between ""health"" and ""treatment of disease."" All the prevention medicine people preach this all the time. You cannot buy health. You can buy treatment of disease, assuming you are lucky enough to have a disease which can be treated. A rich person with a terminal disease is a bit out of luck. There is no such thing as ""adequately covered"" and there never will be.   And for what it's worth, I'll be the first to admit that all my patients die.",sci.med,science,93,508,1713290748889
science,0.3657701994810551,0.0323804646331379,0.0562183339122853,0.0469799956818731,0.4986510062916484,"I know what the 68HC811E2 is all about, but I'm trying to figure out what the 68SEC811E2 is... specifically, what does the SEC stand for?",sci.electronics,science,25,137,1713291008237
science,0.0717405921615196,0.0498102130753313,0.1740699531205973,0.0445583317798185,0.6598209098627332,"Here is a press release from the Natural Resources Defense Council.   New Data Show About 100 Major U.S. Water Supplies Vulnerable To Milwaukee-Type Disease Outbreak  To: National Desk, Environment Writer  Contact: Erik Olson or Sarah Silver, 202-783-7800, both           of the Natural Resources Defense Council     WASHINGTON, April 14  -- Internal EPA data released today by the Natural Resources Defense Council reveals that about 100 large water systems -- serving cities from Boston to San Francisco -- do not filter to remove disease-carrying organisms leaving those communities potentially vulnerable to a disease outbreak similar to the one affecting Milwaukee.    The EPA list is attached.    ""These internal EPA documents reveal that the safety of water supplies in many American cities is threatened by inadequate pollution controls or filtration,"" said Erik Olson, a senior attorney with NRDC.  ""Water contamination isn't just a problem in Bangladesh, it's also a problem in Bozeman and Boston.""    ""As of June 29, 1993, about 100 large surface water systems on EPA's list probably will be breaking the law.  The 1986 Safe Drinking Water Act requires all surface water systems to either filter their water or fully protect the rivers or lakes they use from pollution,"" Olson continued.  Some systems are moving towards eventually implementing filtration systems but are expected to miss the law's deadline.    Olson pointed out that the threat of contamination is already a reality in other cities.  A 1991 survey of 66 U.S. surface water systems by water utility scientists found that 87 percent of raw water samples contained the Milwaukee organism cryptosporidium, and 81 percent contained a similar parasite called giardia.    Adding to the level of concern, a General Accounting Office study released today by House Health and Environment Subcommittee Chairman Henry Waxman indicates serious deficiencies in the nation's system for conducting and following through on sanitary surveys of water systems.    ""This new information raises a huge warning sign that millions of Americans can no longer simply turn on their taps and be assured that their water is safe to drink.  We must immediately put into place programs to protect water sources from contamination and where this is not assured, filtration equipment must be installed to protect the public,"" Olson noted.  ""The time has come for many of the nation's water utilities to stop dragging their feet and to aggressively protect their water from contamination; consumers are prepared to pay the modest costs needed to assure their water is safe to drink.""    NRDC is a national non-profit environmental advocacy organization.     Systems EPA Indicates Require Filtration and Do Not Adequately Protect Watersheds   CONNECTICUT   Bridgeport            Bridgeport Hydraulic Co.   MASSACHUSETTS  Boston                H2O Resource Author (MWRA)  Medford               MWRA-Medford Water Dept  Melrose               MWRA-Melrose Water Dept  Hilton                MWRA-Hilton Water Dept  Needham               MWRA-Needham Water Division  Newtoncenter          MWRA-Newton Water Dept.  Marblehead            MWRA-Marblehead Water Dept  Quincy                MWRA-Quincy Water Dept  Norwood               MWRA-Norwood Water Dept  Framingham            MWRA-Framingham Water Div  Cambridge             MWRA-Cambridge Water Dept  Canton                MWRA-Canton Water Div-DPW  Chelsea               MWRA-Chelsea Water Dept  Everett               MWRA-Everett Water Dept  Lexington             MWRA-201 Bedford (PUO WRKS)  Lynn                  MWRA-Lynn Water & Sewer Co  Malden                MWRA-Malden Water Division  Revere                MWRA-Revere Water Dept  Woburn                MWRA-Woburn Water Dept  Swampscott            MWRA-Swampscott Water Dept  Saugus                MWRA-Saugus Water Dept  Somerville            MWRA-Somerville Water Dept  Stoneman              MWRA-Stoneman Water Dept  Brookline             MWRA-Brookline Water Dept  Wakefield             MWRA-Same as Above  Waltham               MWRA-Waltham Water Division  Watertown             MWRA-Watertown Water Division  Weston                MWRA-Weston Water Dept  Dedham                MWRA-Dedham-Westwood District  Winchester            MWRA-Winchester Water & Sewer  Winthrop              MWRA-Winthrop Water Dept  Boston                MWRA-Boston Water & Sewer Co  S. Hadley             MWRA-South Hadley Fire Dist  Arlington             MWRA-Arlington Water Dept  Belmont               MWRA-Belmont Water Dept  Clinton               MWRA-Clinton Water Dept  Attleboro             Attleboro Water Dept  Fitchburg             Fitchburg Water Dept  Northampton           Northampton Water Dept  North Adams           North Adams Water Dept  Amherst               Amherst Water Division DPW  Gardner               Gardner Water Dept  Worcester             Worcester DPW, Water Oper  Westboro              Westboro Water Dept  Southbridge           Southbridge Water Supply Co  Newburyport           Newburyport Water Dept  Hingham               Hingham Water Co  Brockton              Brockton Water Dept   MAINE  Rockland              Camden & Rockland Water Co  Bath                  Bath Water District   NEW HAMPSHIRE  Keene                 City of Keene  Salem                 Salem Water Dept   VERMONT  Barre City            Barre City Water System  Rutland City          Rutland City Water Dept   NEW YORK  Glens Falls           Glens Falls City  Yorktown Hts          Yorktown Water Storage & Dist  Rochester             Rochester City  Henrietta             Henrietta WD  Rochester             MCWA Upland System  Rochester             Greece Consolidated  New York              NYC-Aquaduct Sys (Croton)  Chappaqua             New Castle/Stanwood WD  Beacon                Beacon City  Mamaronek             Westchester Joint Water Works   PENNSYLVANIA  Bethlehem             Bethlehem Public Water Sys  Johnstown             Greater Johnstown Water Auth  Lock Haven            City of Lock Haven-Water Dept  Shamokin              Roaring Creek Water Comp  Harrisburg            Harrisburg City  Hazleton              Hazleton City Water Dept  Wind Gap              Blue Mt Consolidated  Apollo                Westmoreland Auth  Fayettville           Guilford Water Auth  Humlock Creek         PG&W-Ceasetown Reservoir  Springbrook           PG&W-Waters Reservoir  Wilkes Barre          PG&W-Gardners Creek  Wilkes Barre          PG&W-Hill Creek  Wilkes Barre          PG&W-Plymouth Relief  Altoona               Altoona City Auth  Tamaqua               Tamaqua Municipal water  Waynesboro            Waynesboro Borough Auth  Pottsville            Schuykill Co Mun Auth   VIRGINIA  Covington             City of Covington  Fishersville          South River Sa Dist-ACSA   SOUTH CAROLINA  Greenville            Greenville Water Sys   MICHIGAN  Sault Ste Marie       Sault Ste Marie  Marquette             Marquette   MONTANA  Butte                 Butte Water Co  Bozeman               Bozeman City   CALIFORNIA  San Francisco         City & County of San Fran   NEVADA  Reno                  Westpac   IDAHO  Twin Falls            Twin Falls City   WASHINGTON  Aberdeen              Aberdeen Water Dept  Centralia             Centralia Water Dept   -30",sci.med,science,2216,7317,1713291267585
